,url,link_text,tokens,token_values
94897348,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtsblatt/einzelmitteilung.2023_0211.html,Zum Inhalt,wahlvorschlag__wahlgang__stadtkanzlei__gpr__vorgeschlagen__ersatzwahl__wahl__abstimmung__politisch__urnenwahl,0.10347619185092781__0.04977387270193521__0.047206427972364004__0.03880357194409793__0.03517606753216166__0.03474212005710374__0.03376269680092263__0.029474372329158366__0.028263720357775825__0.02718445765718285
94897347,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtsblatt/einzelmitteilung.2023_0278.html,Zum Inhalt,wahlvorschlag__wahlgang__stadtkanzlei__friedensrichterin__gpr__vorgeschlagen__ersatzwahl__wahl__abstimmung__friedensrichterkreis,0.10429257206276946__0.05016656597769013__0.04757886527392111__0.03910971452353855__0.03910971452353855__0.03545359074740555__0.03501621962362922__0.034029069162271136__0.029706911755818393__0.02941250235565728
94865304,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtsblatt/gesamtausgaben.html,Gesamtausgaben,dokument__amtsblatt__kb__pdf__herunterlad__gesamtausgaben__gesamtausgabe__seite__vorlesen__aufgelisten,0.10495666708322338__0.10375237281376373__0.0641574345816996__0.05549482198937931__0.054740641877776455__0.05363027354561622__0.03118924749230619__0.029293490904240074__0.0290483464965851__0.018593689145035213
94863768,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtsblatt.html,städtischen Amtsblatt,beschluß__amtsblatt__gesamtausgaber__zeitraum__städtisch__calendar__amtlich__neust__wöchentlich__suchbegriff,0.04862316398550156__0.04045674145940854__0.02888426846285169__0.025924837547586243__0.0237084146988533__0.02325300334708043__0.022936439777192688__0.02286509082766184__0.019173832651540917__0.018419628713596595
94865306,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtsblatt/kontakt.html,Kontakt,gesamtausgaber__amtsblatt__städtisch__politik__zürich__languag__other__zürichstadtkanzlei__nachricht__kontakt,0.035530932512541996__0.031103993345035337__0.02083146015544537__0.01997135325814303__0.01976865581904292__0.019616937123247677__0.019558921246086877__0.018777107257039814__0.017774373904283016__0.017591389624470256
94865305,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/amtsblatt/newsletter.html,Zurück zur aufrufenden Seite,amtsblatt__städtisch__newsletter__gesamtausgaben__politik__zürich__languag__other__nachricht__gesamtausgaber,0.03629372041144454__0.02430720654602244__0.022269850018314052__0.019802706898519432__0.019419658416757864__0.019222560354428472__0.01907503278282647__0.019018619554206022__0.017283369100297298__0.017274707519909917
94894272,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/datenschutzstelle/auskunftsreccht.html,Auskunftsrecht,auskunftsrecht__datenschutzstell__verwaltungsstell__auskunft__verweigerung__datenschutz__idg__videoüberwachung__schriftlich__abs.,0.08994015855046061__0.07031427398380866__0.05719611620157474__0.05323107969241723__0.04181564784893611__0.03257295210377815__0.03014465599818269__0.028620559084557396__0.02721943023264071__0.025298284662775998
94863763,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/datenschutzstelle.html,Datenschutzstelle,datenschutzstelle__auskunftsrecht__datenschutzstell__videoüberwachung__datenbearbeitung__zürich__stadt-zuerich.ch/datenschutz__datenschutzbehörde__telecom-anbieter__z.,0.09445325546097243__0.07514999914438487__0.0734393528275335__0.0597851678655199__0.057880241095085154__0.025128158063316777__0.021837060543333304__0.021837060543333304__0.021837060543333304__0.02157526677397435
94894321,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/datenschutzstelle/kontakt.html,Zum Inhalt,datenschutzstelle__stadtzürcherisch__auskunftsrecht__datenschutzstell__videoüberwachung__kontaktangabe__meldung__datenschutzfragen__politik__languag,0.07959543999520148__0.03902038725511359__0.03799719057862156__0.03713225704762929__0.03022845566234152__0.029569985963092942__0.024031555958328177__0.02094401502010989__0.019746956030523444__0.01939652209939096
94894322,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/datenschutzstelle/ueber_die_datenschutzstelle.html,Über die Datenschutzstelle,datenschutzstelle__informationsbeständ__tätigkeitsberichte__weisungsfrei__tätigkeitsbericht__team__datenschutzbeauftragte__languag__other__unabhängig,0.1187735547712827__0.06348510247271816__0.04707390296766461__0.04707390296766461__0.04049999953889005__0.031332585183815057__0.022323560919638087__0.020674137327494558__0.02061299484617539__0.020298801911118224
94894271,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/datenschutzstelle/videoueberwachung.html,Videoüberwachung,videoüberwachung__privat__datenschutzstell__öffentlich__raum__datenschutzstelle__persönlichkeitsrecht__bundesgesetz__private__unzulässig,0.2629915574533438__0.09102108996510018__0.05238738510814806__0.04904555923064612__0.04252147721094057__0.03743193743499568__0.031154590999735755__0.026301187490093303__0.02536939301282456__0.025199255895662707
94892211,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/einbuergerungen/ablauf-einbuergerungsverfahren.html,Ablauf und Kosten,einbürgerung__einbürgerungsverfahren__ablauf__kosten__schritt__kanton__bund__gesuch__zürich__erleichterte,0.09221037107467656__0.06039677331661059__0.04650670189154689__0.0418602101870088__0.038896442069440054__0.03268853671845183__0.03195232656290719__0.03062181620584258__0.02874190654733892__0.02873713806294789
94892210,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/einbuergerungen/benoetigte-dokumente.html,Benötigte Dokumente,bescheinigung__steueramt__zivilstandsregister__benötigter__einbürgerung__dokument__post__auszug__zürich__erleichterte,0.07816805152759239__0.05719342921648847__0.05636249935828865__0.05211203435172826__0.04909348459994353__0.040468868750358246__0.031053717965945988__0.027742806065878606__0.027544327107866463__0.02753975731032506
94892212,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/einbuergerungen/erleichterte-einbuergerung.html,Erleichterte Einbürgerung,einbürgerung__erleichterte__ehepartnerin__ehepartner__schweizer__erleichtert__einbürgerungsfei__grundkenntnis__benötigter__gesuchseinreichung,0.1376050955210096__0.08040805054109507__0.06432644043287605__0.06302873806433726__0.058045778966876904__0.042223314725493524__0.03151436903216863__0.03094215200813734__0.030430385022907014__0.02996752460138854
94892213,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/einbuergerungen/faq.html,Häufig gestellte Fragen,einbürgerung__einbürgerungsgesuch__gesuch__einreich__erleichtert__wohnsitzfrist__einbürgerungsverfahren__betreibung__erfüllen__einreichen,0.10876095049833645__0.10422406870345652__0.08578034411508466__0.04817476979465593__0.04449687782609703__0.03561860990466779__0.03561860990466779__0.035046747957622415__0.03378063765109966__0.027939684553220104
94863463,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/einbuergerungen.html,Abt. Einbürgerungen,einbürgerung__gesuchseinreichung__erleichterte__benötigter__schweizer__einbürgerungsfei__grundkenntnis__voraussetzung__bürgerrecht__ordentlich,0.18812293258465757__0.07762596183510938__0.055542367684689196__0.052549950606784794__0.043854439623872074__0.04081640442926882__0.040075287212219896__0.038487944753846745__0.03230718836444285__0.0308699441129198
94868583,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/einbuergerungen/kenntnisse/grundkenntnisse/broschuere_einbuergerungsgespraech.html,Broschüre,grundkenntnisse__lernbroschüre__grundkenntnistest__überprüfung__selbsttest__vorzubereit__broschüre__einbürgerungsbroschür__optimal__organisationseinheitstadtkanzlei,0.15760618006494861__0.13394136551782854__0.13394136551782854__0.043124170308476484__0.037445773186870604__0.03635633086695521__0.03174138061048154__0.023536951483832304__0.022594766883249864__0.020795296201827
94892264,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/einbuergerungen/kenntnisse.html,Zum Inhalt,grundkenntnisse__einbürgerung__grundkenntnissen__einbürgern__sprachlich__nachweis__ausdruck__zürich__sprachkenntnis__stadt,0.10507078670996575__0.07055351080231406__0.04049999953889005__0.039578094338191705__0.030695053216516565__0.030695053216516565__0.02917906958461184__0.022917435727944368__0.022323560919638087__0.020880685278391497
94892263,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/einbuergerungen/kontakt-und-beratung.html,Zum Inhalt,einbürgerung__frage__rückruf__umziehen__grundkenntnissen__deutschkenntnissen__terminvereinbarung__beratung__lesen__gesuch,0.11319371121733705__0.06819869027956538__0.06511850958217572__0.059069868323097276__0.04430240124232296__0.04329394162321843__0.03849328517085602__0.03668153391705789__0.03540952254677__0.03075553592726547
94892262,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/einbuergerungen/voraussetzungen.html,Zum Inhalt,einbürgerung__voraussetzung__einbürgerungsgesuch__grundkenntnis__gesuchseinreichung__staatsangehörigkeit__f-bewilligung__wohnsitzfrist__erleichterte__einbürgerungsfei,0.07510716369075027__0.05474181783714457__0.049828240017588774__0.03799967472712484__0.036802746846127554__0.03324035205379132__0.029705455566370997__0.0276718284119929__0.026332835675211212__0.025801604924743638
94900266,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/finanzkontrolle/auftrag.html,Auftrag,revisionsbereich__finanzaufsicht__auftrag__finanzkontrolle__prüfungssystematik__finanzkontroll__kontrollsystem__intern__prüfung__beurteilung,0.08363129569787223__0.05719611620157474__0.047262283985434916__0.04521698399727403__0.04181564784893611__0.035976063420184244__0.03515713699190433__0.031278032885907955__0.023048985618203125__0.02240594422003544
94864416,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/finanzkontrolle.html,Finanzkontrolle,finanzkontrolle__finanzaufsicht__finanzkontroll__whistleblowing__kontrollsystem__auftrag__stadt-zuerich.ch/finanzkontroll__informationsziel__stellenbewerber__jederzeitig,0.06458342253741704__0.061269913651829364__0.03853846109968455__0.03853846109968455__0.037661206578222306__0.025314271764278536__0.02239698517264954__0.02239698517264954__0.02239698517264954__0.02239698517264954
94900217,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/finanzkontrolle/kontakt.html,Zum Inhalt,finanzkontroll__whistleblowing__bäckerstrasse__kontrollsystem__politik__kontakt__zürich__languag__other__nachricht,0.05636249935828865__0.03757499957219244__0.03671967641376675__0.03671967641376675__0.019527545407962074__0.019350528586917284__0.01932935235639752__0.019181005187175505__0.01912427855172939__0.017379387817521172
94900216,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/finanzkontrolle/kontrollsystem.html,Kontrollsystem,kontrollsystem__finanzkontroll__coso__iks__whistleblowing__sicherstellung__interne__-kontrolle__unternehmenssteuerung__führungsinstrumente,0.13567974276054576__0.05950293187385312__0.04610757651378292__0.04204445687544889__0.03966862124923542__0.031806644216891874__0.02400930615459823__0.02305378825689146__0.02305378825689146__0.02305378825689146
94900215,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/finanzkontrolle/whistleblowing.html,Whistleblowing,whistleblowing__finanzkontroll__whistleblowing-tool__ombudsstelle__kontrollsystem__anonym__hinweisgeber__whistleblower__whistleblowerinn__nestbeschmutzer,0.10651180981093919__0.08875984150911599__0.03913947163863055__0.03727787154803933__0.0346957572413544__0.03287517098847911__0.020633443033070836__0.020633443033070836__0.020633443033070836__0.020633443033070836
94894089,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/friedensrichteramt/aktuell.html,Zum Inhalt,friedensrichteramt__ämterverzeichnis__aktuell__jahresbericht__politik__languag__other__zürich__friedensrichterämter__stadt,0.05431085445088507__0.045997542592120653__0.03331497381000856__0.026213668571024636__0.023277868698232937__0.02286477439530855__0.02279715324047212__0.02073745087242648__0.0189541776059366__0.018474566577437776
94894139,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/friedensrichteramt/dienstleistungen/auskuenfte_beratungen.html,Beratung,friedensrichter__mediation__friedensrichteramt__friedensrichterinn__verband__klageart__urteilsvorschlag__jahresberichterstattung__rechtsauskunftsstelle__schlichtungsverfahren,0.08756981617473346__0.06503365310571768__0.05257012193643362__0.05008867017843908__0.04237962646214437__0.03584648724595731__0.034464326429154014__0.034464326429154014__0.034464326429154014__0.03339244678562605
94894141,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/friedensrichteramt/dienstleistungen.html,Zum Inhalt,informationsbroschüre__klageart__jahresberichterstattung__urteilsvorschlag__urteil__schlichtungsverfahr__gebühr__friedensrichterämter__friedensrichteramt__dienstleistung,0.09415301644555576__0.08496945124967659__0.08169321820243915__0.08169321820243915__0.07380288132319833__0.05780769164952683__0.055710687872862964__0.04892445843583635__0.046728997276829894__0.046402577191543656
94894138,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/friedensrichteramt/dienstleistungen/suehnverfahren.html,Schlichtungsverfahren,streitigkeit__klage__schlichtungsverfahren__schlichtungsverfahr__friedensrichteramt__schlichtungsverhandlung__partei__bezirksgericht__erschein__bauhandwerkerpfandrecht,0.1288879595519422__0.08176752685952184__0.07160442197330122__0.06972680332984163__0.06763661049141151__0.06483580862350506__0.04880711017114428__0.04282376884978077__0.04005898661511745__0.03241790431175253
94894140,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/friedensrichteramt/die_sechs_aemter.html,Zum Inhalt,kreis__friedensrichteramt__ämterverzeichnis__adresse__angabe__öffnungszeit__lesen__https://www.webgis.stadt-zuerich.ch/intersecttools/friedensrichter.aspx__languag__other,0.2401550335838611__0.14540672024971002__0.09236208685385928__0.054587090541799096__0.051519391265915565__0.04866503343787053__0.028754541358901882__0.020907823924468057__0.018364792200487184__0.018310479464421756
94863761,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/friedensrichteramt.html,Friedensrichterämter Stadt Zürich,friedensrichteramt__friedensrichter__schlichtungsverfahr__friedensrichterämter__zürich__kanzleimitarbeitende__gerichtsbehörde__schlichtungsverhandlungen__ämterverzeichni__gemeindeeben,0.09426366692050167__0.0523405797825993__0.038870689212612865__0.03289748067237272__0.02599464627239666__0.02259006263103445__0.02259006263103445__0.02259006263103445__0.02259006263103445__0.021425486629767586
94894088,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/friedensrichteramt/klagen.html,Formulare,schlichtungsgesuch__dokument__formular__vollmacht__friedensrichteramt__ämterverzeichnis__kb__pdf__herunterlad__negativ,0.1896838502959783__0.060757550938875644__0.05625944695249699__0.043972863389188446__0.043972863389188446__0.03724197818450519__0.03713959968464236__0.03212496707036249__0.03168838559515745__0.02483678437900211
94865976,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/gemeinderat.html,Gemeinderat,gemeinderat__partei__sicherheitskontroll__mitverfolgen__gemeinderatsmitglieder__gemeinderatsmandat__parlamentsdienst__stimmberechtigten__tribün__fraktion,0.06642296854372802__0.04424569800561677__0.023227630364981683__0.023227630364981683__0.023227630364981683__0.023227630364981683__0.022332024602068644__0.022332024602068644__0.022332024602068644__0.02163747330657389
94864168,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/gemeinderat/parteien.html,Parteien in der Stadt Zürich,wahlkreis__partei__kreis__gemeinderat__lesen__vertreten__volkspartei__aktiv__zürich__parteipolitisch,0.5296736782190827__0.2737902469359612__0.06527587418857718__0.044955545276432786__0.039078461027519676__0.03000820314982127__0.029260275926657926__0.02095700441700364__0.020121157151719832__0.018942992278554192
94897839,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/gemeinderat/parteien/wahlkreis-10.html,Wahlkreis 10,wahlkreis__partei__volkspartei__gemeinderat__languag__other__freisinnig-demokratisch__evp__grünliberal__sozialdemokratisch,0.3891775858796253__0.1158236008954372__0.03713460094667596__0.02445157442951456__0.021116702958358356__0.021054251616582812__0.018832802157753348__0.01856730047333798__0.01832310959116678__0.01809706763423039
94897840,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/gemeinderat/parteien/wahlkreis-11.html,Wahlkreis 11,wahlkreis__partei__volkspartei__gemeinderat__languag__other__freisinnig-demokratisch__evp__grünliberal__sozialdemokratisch,0.3891775858796253__0.1158236008954372__0.03713460094667596__0.02445157442951456__0.021116702958358356__0.021054251616582812__0.018832802157753348__0.01856730047333798__0.01832310959116678__0.01809706763423039
94897833,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/gemeinderat/parteien/wahlkreis-1-2.html,Wahlkreis 1 & 2,wahlkreis__partei__freisinnig-demokratisch__volkspartei__fdp__gemeinderat__languag__other__evp__kreis,0.3833164776585467__0.1283391782512318__0.03709835123846593__0.036575344908322406__0.03321458277121547__0.024083327826660426__0.02079868032344332__0.020737169513923435__0.018287672454161203__0.01813218727460477
94897841,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/gemeinderat/parteien/wahlkreis-12.html,Zum Inhalt,wahlkreis__partei__volkspartei__gemeinderat__languag__other__freisinnig-demokratisch__evp__grünliberal__sozialdemokratisch,0.3891775858796253__0.1158236008954372__0.03713460094667596__0.02445157442951456__0.021116702958358356__0.021054251616582812__0.018832802157753348__0.01856730047333798__0.01832310959116678__0.01809706763423039
94897834,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/gemeinderat/parteien/wahlkreis-3.html,Wahlkreis 3,wahlkreis__partei__volkspartei__gemeinderat__languag__other__freisinnig-demokratisch__evp__grünliberal__sozialdemokratisch,0.3891775858796253__0.1158236008954372__0.03713460094667596__0.02445157442951456__0.021116702958358356__0.021054251616582812__0.018832802157753348__0.01856730047333798__0.01832310959116678__0.01809706763423039
94897835,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/gemeinderat/parteien/wahlkreis-4-5.html,Wahlkreis 4 & 5,wahlkreis__partei__volkspartei__kreis__sozialdemokratisch__svp__sp__gemeinderat__languag__other,0.37762928956272257__0.12643503614067939__0.05404902600695714__0.035726327449072906__0.035120125319841766__0.03471181282010738__0.032184171151217__0.023726008422704038__0.0204900945619679__0.02042949637573466
94897836,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/gemeinderat/parteien/wahlkreis-6.html,Wahlkreis 6,wahlkreis__partei__volkspartei__gemeinderat__languag__other__freisinnig-demokratisch__evp__grünliberal__sozialdemokratisch,0.3891775858796253__0.1158236008954372__0.03713460094667596__0.02445157442951456__0.021116702958358356__0.021054251616582812__0.018832802157753348__0.01856730047333798__0.01832310959116678__0.01809706763423039
94897837,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/gemeinderat/parteien/wahlkreis-7-8.html,Wahlkreis 7 & 8,wahlkreis__partei__volkspartei__gemeinderat__languag__other__freisinnig-demokratisch__evp__grünliberal__sozialdemokratisch,0.3891775858796253__0.1158236008954372__0.03713460094667596__0.02445157442951456__0.021116702958358356__0.021054251616582812__0.018832802157753348__0.01856730047333798__0.01832310959116678__0.01809706763423039
94897838,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/gemeinderat/parteien/wahlkreis-9.html,Wahlkreis 9,wahlkreis__partei__volkspartei__gemeinderat__languag__other__freisinnig-demokratisch__evp__grünliberal__sozialdemokratisch,0.3891775858796253__0.1158236008954372__0.03713460094667596__0.02445157442951456__0.021116702958358356__0.021054251616582812__0.018832802157753348__0.01856730047333798__0.01832310959116678__0.01809706763423039
94862011,www.stadt-zuerich.ch/portal/de/index/politik_u_recht.html,Politik & Recht (aktiv),lesen__stadtbürgerrecht__finanzkontrolle__rechtskonsulent__anwaltsverbands__sozialbehörde__stadtkanzlei__unentgeltlich__datenschutzstelle__erwachsenenschutzbehörde,0.056576177660633754__0.049085118698645146__0.04448347980893521__0.04191550204003065__0.03926809495891612__0.038648471635433064__0.037868892769039264__0.037868892769039264__0.03558678384714817__0.03522664301240967
94893245,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/kindes_und_erwachsenenschutzbehoerde/adoption.html,Adoption,adoption__leiblich__kindesverhältnis__erwachsenenschutzbehörde__dokument__adoptionsvoraussetzunge__stiefkindadoption__erlischt__wirkung__mandatsträger,0.13875622902013718__0.07026341710345384__0.05299780985797745__0.040340443323874084__0.040014162359904785__0.03533187323865164__0.03221833661691701__0.030397752462897255__0.029508473448667825__0.028105366841381534
94893246,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/kindes_und_erwachsenenschutzbehoerde/downloads.html,Zum Inhalt,dokument__kb__herunterlad__pdf__ausfüllbar__merkblatt__meldung__beistandschaft__formular__vorlesen,0.17374069306436524__0.10620342146171197__0.09061527316880011__0.08290139688445639__0.07807402457758242__0.0737717694807179__0.055989750792963554__0.04911081771367062__0.048067217275186404__0.045739739313340154
94893308,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/kindes_und_erwachsenenschutzbehoerde/eigene-vorsorge.html,Zum Inhalt,patientenverfügung__vorsorgeauftrag__vollmacht__vorsorge__urteilsunfähigkeit__erwachsenenschutzbehörde__zgb__art__vollmachtgeberin__vollmachtgeber,0.0865957203202487__0.08483825340805906__0.08184569882319007__0.07222300806550301__0.041590592403654__0.0403102483812664__0.03687620542266674__0.027359211518121__0.023536951483832304__0.023536951483832304
94893297,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/kindes_und_erwachsenenschutzbehoerde/eigene-vorsorge/vorsorgeauftrag.html,Vorsorgeauftrag,vorsorgeauftrag__zgb__kesb__art__erwachsenenschutzbehörde__vorsorge__abs.__urteilsunfähigkeit__ziff__mustervorlage,0.16743986195354202__0.0839771768943456__0.06485560249911665__0.04153625748660187__0.04079885745255447__0.03289429730983364__0.032427801249558325__0.031571040597319175__0.031571040597319175__0.031571040597319175
94893310,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/kindes_und_erwachsenenschutzbehoerde/erwachsene.html,Website,fürsorgerische__pflegeeinrichtung__beistandschaft__vertretungsrecht__vorsorge__unterbringung__gesetzlich__erwachsen__erwachsenenschutzbehörde__aufenthalt,0.07388966948308742__0.06764481103906621__0.06652600130007863__0.059489915003929146__0.05132443551888937__0.05107614497528774__0.03695331314599739__0.03580750787059302__0.03580750787059302__0.03524544906483028
94863567,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/kindes_und_erwachsenenschutzbehoerde.html,Zurück zu Kindes- und Erwachsenenschutzbehörde,erwachsenenschutzbehörde__kesb__behördenmitglied__ernennen__ersatzmitglied__mandatsträger__mandatsträgerinn__rechtsschutz__adoption__vorsorge,0.1159229529094721__0.08775050768638169__0.06551004925896682__0.060033573863247945__0.05395701531538831__0.04615087913068185__0.045448902624246085__0.04367336617264455__0.04142671715126537__0.03560514345959853
94893311,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/kindes_und_erwachsenenschutzbehoerde/informationen_mt.html,Zum Inhalt,mandatsträger__mandatsträgerinn__erwachsenenschutzbehörde__allgemein__berufsbeiständinn__berufsbeiständ__ernennt__information__erwachsenenschutzmassnahme__languag,0.20844813740691304__0.20527754351951147__0.04079885745255447__0.03661343338937981__0.02382224786545451__0.02382224786545451__0.02259414953684582__0.022242616288487983__0.02172296938564859__0.02092473293146419
94893309,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/kindes_und_erwachsenenschutzbehoerde/kinder_jugendliche.html,Zum Inhalt,kindesvermög__vaterschaft__besuchsrecht__sorge__kind__unterhalt__elterliche__jugendliche__erwachsenenschutzbehörde__elterlich,0.09141095111162778__0.07160844541378307__0.05898401095634859__0.051801383686964984__0.04533775905950556__0.0441588196478647__0.04334924039046__0.03943009423483844__0.03913843883529935__0.035804222706891535
94893248,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/kindes_und_erwachsenenschutzbehoerde/kontakt.html,Kontakt,|__erwachsenenschutzbehörde__mandatsträger__mandatsträgerinn__rechtsschutz__adoption__zuständig__vorsorge__nachnamen__politik,0.19656175570994122__0.05146644862134165__0.02868552349636418__0.02824920323663002__0.027145601451345584__0.025749175110075496__0.024904135465186272__0.022130719902640372__0.01710107648430991__0.01612366134602373
94893247,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/kindes_und_erwachsenenschutzbehoerde/links.html,Links,erwachsenenschutzbehörde__links__mandatsträger__mandatsträgerinn__rechtsschutz__sozialzentren__adoption__erwachsenenschutz__zürich__vorsorge,0.03698797516303015__0.03654448941021623__0.0343595830890516__0.0338369577229964__0.03251506107908427__0.031138435866254647__0.03084241853844208__0.03004006967796207__0.026763718647319645__0.026508224938327482
94893307,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/kindes_und_erwachsenenschutzbehoerde/ueber_uns.html,Über uns,erwachsenenschutzbehörde__kesb__leichte__behördenmitglieder__sprache__erreichen__lesen__medienmitteilung__zürich__leicht,0.06380863961773922__0.05635162934362427__0.04069309220611033__0.03205450200471393__0.032043359395396695__0.027700780275490323__0.025620160073334383__0.02418668692905498__0.023085292861669077__0.02119079511090912
94893300,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/kindes_und_erwachsenenschutzbehoerde/ueber_uns/leichte-sprache.html,Leichte Sprache,leichte__sprache__erwachsenenschutzbehörde__dokument__seiten__erwachsenen-schutz__kindes-schutz__erwachsenen-schutz-behörde__languag__other,0.07132911697187355__0.042125537896752045__0.0419427506521588__0.030257098131108967__0.026733420918075936__0.02449016135700931__0.02449016135700931__0.02449016135700931__0.021511407686551968__0.021447789029976884
94893306,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/kindes_und_erwachsenenschutzbehoerde/ueber_uns/medienmitteilungen.html,Zum Inhalt,kesb__ernennen__erwachsenenschutzbehörde__behördenmitglied__ersatzmitglied__erwachsenenschutzrecht__artikel__neu__mittwoch__fremdplatzierung,0.2056682169341357__0.11725476408605547__0.11320764049897997__0.06397557963668472__0.0632317887587902__0.05633733443430082__0.055380017495502296__0.03896923984237542__0.029824681454780944__0.028329159623783743
94893302,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/kindes_und_erwachsenenschutzbehoerde/ueber_uns/news/claudia-breitenstein-neues-mitglied.html,"Neues Behördenmitglied der Kindes- und Erwachsenenschutzbehörde Mittwoch, 8. Dezember 2021 Der Stadtrat hat heute Claudia Breitenstein als neues Behördenmitglied der Kindes- und Erwachsenenschutzbehörde der Stadt Zürich angestellt. Weiter zum Artikel: Neues Behördenmitglied der Kindes- und Erwachsenenschutzbehörde",behördenmitglied__breitenstein__erwachsenenschutzbehörde__bremgarten__claudia__fachdienst__kesb__bezirk__tätig__fachrichterin,0.10030069688802266__0.07642372794344224__0.05071044429131064__0.042124685577170175__0.039254748192236386__0.03592436292470182__0.026870494444078463__0.024470582396021553__0.022473934497744975__0.022207180213559292
94893303,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/kindes_und_erwachsenenschutzbehoerde/ueber_uns/news.html,Aktuelles,erwachsenenschutzbehörde__behördenmitglied__aktuelles__neu__anstellen__leichte__zürich__languag__other__medienmitteilung,0.12239657235766341__0.1075952930253334__0.0396567514901826__0.03745095777059457__0.035448124001139954__0.034691888709047596__0.021086566206979112__0.02092473293146419__0.020862849329159334__0.02061976138194182
94893301,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/kindes_und_erwachsenenschutzbehoerde/ueber_uns/news/zora-mark-neues-mitglied.html,"Neues Behördenmitglied der Kindes- und Erwachsenenschutzbehörde Mittwoch, 30. März 2022 Der Stadtrat hat heute Zora Mark als neues Behördenmitglied der Kindes- und Erwachsenenschutzbehörde der Stadt Zürich angestellt. Weiter zum Artikel: Neues Behördenmitglied der Kindes- und Erwachsenenschutzbehörde",zora__mark__cas__erwachsenenschutzbehörde__behördenmitglied__berufsbeiständin__erwachsenenschutz__neu__nachfolge__zürich,0.07575406022324371__0.07287807722260428__0.05293690234027517__0.05143695495450993__0.05086883481140404__0.04108068709033831__0.031331190151226915__0.02213255025841011__0.020540343545169155__0.019938586957888558
94893312,www.stadt-zuerich.ch/portal/de/index/politik_u_recht/kindes_und_erwachsenenschutzbehoerde/verfahren_rechtsschutz.html,Zum Inhalt,rechtsschutz__kesb__verfahren__meldung__erwachsenenschutzbehörde__sachverhalt__standpunkt__richtigzustell__darzuleg__bestreit,0.14712616035232054__0.10510668544976547__0.08797590987391266__0.05908310719036485__0.03719232861696954__0.034023902240803004__0.02171641379999997__0.02171641379999997__0.02171641379999997__0.019802706898519432
