,url,link_text,tokens,token_values
94910406,data.stadt-zuerich.ch/dataset?groups=bauen-und-wohnen&tags=3d-stadtmodell,Bauen und Wohnen (8),8)__dachstruktur__3d__dxfgdbgpkgwfswmswmts__lod2__aussenhüll__gebäudegrundrissen__3d-modell__3d-dachmodell__basieren,0.34722747094794537__0.18960904999554762__0.15158370766028847__0.11748177091477709__0.1092899381429451__0.08898719263016518__0.08898719263016518__0.08793493842171027__0.08427068888691006__0.08038787448879306
94910407,data.stadt-zuerich.ch/dataset?groups=bevolkerung&tags=3d-stadtmodell,Bevölk­erung (2),3d-stadtmodell__kategorie__3d__dxfgpkgshpzipwfswmswmts__bevölk­erung__gemeindegebiet__jahresendstand__flächendeckend__tag__lizenz,0.22785239929463896__0.12465518101493439__0.10239725384721553__0.09451389309557354__0.0891022163653613__0.08624609948018011__0.08304623214375043__0.07747062350830196__0.07130558071835529__0.07023053443439699
94910788,data.stadt-zuerich.ch/dataset?groups=gesundheit&q=miv,Ge­sund­heit (3),kategorie__fahrzeugtypen__verkehrszähldat__jsoncsv__verkehrszahle__dataset__lärmgutachten__rosengartenstras__stampfenbachstrasse__ge­sund­heit,0.11359706011844828__0.0923251876934331__0.09053742216123319__0.09053742216123319__0.08971320823120021__0.08818214002240478__0.08612959612741782__0.08073353495075622__0.08028225375000253__0.08028225375000253
94910790,data.stadt-zuerich.ch/dataset?_groups_limit=0&q=miv,Mehr Kategorien anzeigen,miv__fahrzeugtypen__jsoncsv__verkehrszähldat__verkehrszahle__datensätz__dataset__signalisierte__lärmgutachten__kategorie,0.07986310839110161__0.06579496134474544__0.06452092154018917__0.06452092154018917__0.06393355069349901__0.06373149413360894__0.06284244461366778__0.06184672537812403__0.06137971218275752__0.06071567006330856
94910410,data.stadt-zuerich.ch/dataset?_groups_limit=0&tags=3d-stadtmodell,Mehr Kategorien anzeigen,dachstruktur__3d__dxfgdbgpkgwfswmswmts__3d-stadtmodell__lod2__aussenhüll__gebäudegrundrissen__3d-modell__3d-dachmodell__basieren,0.17162242074695813__0.16769405340196167__0.12760470611612942__0.10176806766914705__0.09892251318076849__0.08054571981149337__0.08054571981149337__0.07959328418407767__0.0762766314430925__0.07276214726455972
94910787,data.stadt-zuerich.ch/dataset?groups=mobilitat&q=miv,Mobilität (4),kategorie__miv__datensätz__signalisierte__lärmgutachten__csvdxfgpkgjsonshpwfswmswmt__kommunaler__individualverkehr__motorisiert__richtplan,0.0971450721012937__0.09583573006932193__0.07647779296033073__0.07421607045374884__0.07365565461930902__0.0702691969389925__0.06443701787819117__0.06261362971239229__0.05996714282742536__0.056008723562851956
94910786,data.stadt-zuerich.ch/dataset?groups=umwelt&q=miv,Umwelt (5),miv__kategorie__fahrzeugtypen__jsoncsv__verkehrszähldat__verkehrszahle__datensätz__dataset__lärmgutachten__rosengartenstras,0.11508224314742592__0.0874909034452645__0.0711075979750665__0.06973068539126034__0.06973068539126034__0.06909588708489954__0.06887751539905564__0.06791667927191423__0.06633583801117894__0.062179865427911624
94910789,data.stadt-zuerich.ch/dataset?groups=verwaltung&q=miv,Ver­walt­ung (2),kategorie__emissionsabschnitte__lärmgutachten__kommunaler__miv__ver­walt­ung__richtplan__lizenz__anzeig__larmgutachten,0.12690122031250078__0.09771230340504622__0.0962168461243226__0.08417448281385334__0.0834605457060161__0.08086260035641427__0.07316454879832013__0.07149594946925099__0.07032607705545793__0.06717179592035244
94910409,data.stadt-zuerich.ch/dataset?groups=verwaltung&tags=3d-stadtmodell,Ver­walt­ung (1),3d-blockmodell__kategorie__tag__lod1__ver­walt­ung__3d-stadtmodell__lizenz__anzeig__3d__datensätz,0.15148549894587449__0.14521686035760398__0.12460098898722907__0.10262886046392077__0.09253349112950499__0.0884787667364062__0.08181495248543155__0.08047623250676113__0.07952501501536326__0.0762149826752437
94910813,data.stadt-zuerich.ch/dataset?license_id=cc-zero&q=miv,Creative Commons CC... (6),miv__lizenz__fahrzeugtypen__jsoncsv__verkehrszähldat__verkehrszahle__datensätz__dataset__signalisierte__lärmgutachten,0.07850949638447277__0.06725466433124458__0.06467979250839381__0.06342734659883004__0.06342734659883004__0.06284993119021937__0.06265129931778507__0.061777318433775104__0.060798475795443965__0.06033937807796502
